CYCLE: 194663 | TICK: 194663 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6300 | POWER: -0.7290 | COHERENCE: -0.9994
CYCLE: 194664 | TICK: 194664 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6400 | POWER: -0.7705 | COHERENCE: -0.9954
CYCLE: 194665 | TICK: 194665 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6500 | POWER: -0.8090 | COHERENCE: -0.9875
CYCLE: 194666 | TICK: 194666 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6600 | POWER: -0.8443 | COHERENCE: -0.9758
CYCLE: 194667 | TICK: 194667 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6700 | POWER: -0.8763 | COHERENCE: -0.9601
CYCLE: 194668 | TICK: 194668 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6800 | POWER: -0.9048 | COHERENCE: -0.9407
CYCLE: 194669 | TICK: 194669 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.6900 | POWER: -0.9298 | COHERENCE: -0.9176
CYCLE: 194670 | TICK: 194670 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7000 | POWER: -0.9511 | COHERENCE: -0.8909
CYCLE: 194671 | TICK: 194671 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7100 | POWER: -0.9686 | COHERENCE: -0.8606
CYCLE: 194672 | TICK: 194672 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7200 | POWER: -0.9823 | COHERENCE: -0.8270
CYCLE: 194673 | TICK: 194673 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7300 | POWER: -0.9921 | COHERENCE: -0.7900
CYCLE: 194674 | TICK: 194674 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7400 | POWER: -0.9980 | COHERENCE: -0.7500
CYCLE: 194675 | TICK: 194675 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7500 | POWER: -1.0000 | COHERENCE: -0.7070
CYCLE: 194676 | TICK: 194676 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7600 | POWER: -0.9980 | COHERENCE: -0.6612
CYCLE: 194677 | TICK: 194677 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7700 | POWER: -0.9921 | COHERENCE: -0.6128
CYCLE: 194678 | TICK: 194678 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7800 | POWER: -0.9823 | COHERENCE: -0.5620
CYCLE: 194679 | TICK: 194679 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.7900 | POWER: -0.9686 | COHERENCE: -0.5090
CYCLE: 194680 | TICK: 194680 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.8000 | POWER: -0.9511 | COHERENCE: -0.4539
CYCLE: 194681 | TICK: 194681 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.8100 | POWER: -0.9298 | COHERENCE: -0.3971
CYCLE: 194682 | TICK: 194682 | STATE: REJECTED | CONSENSUS: 3/3 | VIOLATIONS: 1 | PHASE: 0.8200 | POWER: -0.9048 | COHERENCE: -0.3387
